destination,duration_days,travel_style,num_travelers,total_cost_usd
Dubai,3,mid,6,3063
Maasai Mara,17,budget,2,3605
Johannesburg,18,mid,3,6600
Maldives,8,budget,3,3035
Quebec City,6,mid,3,2864
Tashkent,17,budget,3,2836
Baku,3,mid,1,353
Rome,20,budget,2,3509
Tahiti,6,budget,5,3646
Orlando,15,mid,4,8743
Tokyo,8,luxury,6,13759
Phuket,18,mid,2,3865
Bangkok,9,luxury,2,5076
Dubrovnik,6,mid,1,857
Cairo,7,mid,1,895
Athens,16,mid,6,12701
Cartagena,15,mid,6,12664
Edinburgh,13,mid,2,3426
San Francisco,9,budget,2,2038
Abu Dhabi,2,budget,5,971
Dubai,3,mid,4,2217
Amsterdam,21,luxury,1,6499
Seoul,5,luxury,6,9445
Seoul,5,luxury,4,5624
Dubai,10,luxury,4,13405
Rome,2,luxury,3,1746
Kathmandu,18,luxury,3,14585
Melbourne,15,budget,1,1483
Maasai Mara,11,budget,1,1266
Sao Paulo,21,budget,2,2980
Cusco,13,budget,6,4288
Hong Kong,19,budget,4,7767
Sydney,12,mid,2,3328
Seychelles,5,budget,5,3100
Maldives,18,budget,1,2497
Kathmandu,9,mid,4,4561
Budapest,16,mid,1,1767
Baku,11,budget,3,2141
Reykjavik,5,mid,1,934
Kyoto,6,budget,6,2970
Dublin,16,mid,5,10794
Queenstown,13,budget,3,3423
San Francisco,16,mid,3,8770
Sydney,15,mid,6,16369
Taipei,6,budget,6,2460
Hong Kong,15,budget,5,6790
Quebec City,16,luxury,2,9706
Port Vila,21,mid,1,3097
Queenstown,17,budget,4,5830
Las Vegas,3,mid,1,437
Reykjavik,18,budget,6,12043
Quebec City,12,budget,5,5045
Melbourne,5,luxury,4,6469
Lisbon,13,mid,6,11046
New York City,19,budget,5,8971
Dakar,18,budget,4,4736
Taipei,17,budget,3,3010
Prague,18,budget,2,2558
Stockholm,9,mid,1,1369
Cape Town,4,mid,4,2023
Dubai,2,mid,1,322
Tokyo,19,luxury,1,6216
Zanzibar,11,luxury,5,15352
Accra,16,luxury,3,12475
Seoul,16,budget,3,3714
Maasai Mara,17,luxury,6,33752
Gold Coast,5,mid,1,814
Florence,12,budget,3,3363
Budapest,18,luxury,3,15779
Kyoto,17,budget,2,2945
Fiji,15,luxury,1,4266
London,5,budget,4,1829
Paris,12,luxury,1,3968
Kyoto,20,luxury,1,6252
Toronto,20,mid,5,13311
Sao Paulo,18,budget,6,6116
Honolulu,17,luxury,5,29678
Baku,20,luxury,2,11525
Abu Dhabi,14,budget,6,8394
Copenhagen,14,luxury,4,19665
Sydney,10,budget,4,4693
Budapest,6,mid,2,1467
Melbourne,18,luxury,3,18374
San Jose,19,mid,6,13094
Rome,11,luxury,6,18755
Addis Ababa,7,budget,5,1950
Casablanca,5,mid,3,1849
Marrakech,15,luxury,6,26059
Bogota,15,mid,1,1782
Bali,6,mid,1,763
London,7,mid,3,3545
Doha,11,budget,2,2367
Tokyo,16,mid,1,2450
Addis Ababa,19,luxury,2,10802
Havana,9,mid,5,5763
Melbourne,3,mid,4,1838
Johannesburg,19,mid,1,2036
Amsterdam,21,budget,4,8401
Casablanca,13,luxury,5,17861
Zanzibar,8,budget,3,1512
Johannesburg,7,budget,2,982
Dubai,3,mid,4,1860
Berlin,7,budget,5,3110
Bangkok,16,mid,6,12652
Kyoto,12,budget,5,4101
Victoria Falls,11,luxury,4,14252
San Jose,4,mid,6,2847
Florence,18,budget,1,1661
Hong Kong,19,mid,5,13929
Dubrovnik,8,budget,6,4011
Interlaken,8,mid,5,6701
Havana,2,luxury,1,563
Toronto,21,budget,5,8675
Kyoto,12,luxury,4,15603
Jaipur,10,mid,5,6008
Bali,13,luxury,5,19215
Toronto,3,mid,3,1506
Paris,18,mid,1,3206
Taipei,19,luxury,1,5404
Rome,8,luxury,6,13979
Goa,19,budget,6,6982
Wellington,4,mid,6,3750
Bali,12,mid,1,1272
Seoul,10,budget,5,3310
Barcelona,15,mid,4,8484
San Francisco,12,mid,1,1926
Dubai,2,luxury,6,4043
Kuala Lumpur,20,luxury,1,5683
Hanoi,18,mid,1,1889
Johannesburg,21,mid,1,2463
Vancouver,14,mid,6,11115
Hong Kong,9,luxury,2,5819
Santiago,6,mid,3,2408
